,AGOP,PCA,MI,SHAP
num__GrLivArea,2.0,0.0007298735270464061,0.4399679834605146,8360.655328196342
num__OverallQual,1.5543642,0.0019287104797433632,0.5334505321864471,9395.297976009557
num__TotalBsmtSF,1.0460011,0.0011053269852505365,0.3367966663145747,6640.72908702555
num__1stFlrSF,0.87998307,0.000731194099388148,0.29305590932311754,5431.3399277968065
num__2ndFlrSF,0.7623565,8.697879548506182e-05,0.225885724595428,6224.0301600849025
num__OverallCond,0.7092012,0.00016505825728398865,0.10175397298813404,4885.24311155108
num__BsmtFinSF1,0.5848568,0.0003150335400555349,0.15817291611589912,5123.082361354878
num__LotArea,0.5202134,5.651009223477746e-05,0.165132829856784,1781.3137073879855
num__Fireplaces,0.43119022,0.00040997167926924894,0.1727132208536466,3478.1757496611017
num__TotRmsAbvGrd,0.426821,0.00032502508298814397,0.18025305369194244,2753.4921988085066
num__GarageCars,0.34676552,0.001603924764060673,0.366157741618246,2917.4505898259113
num__FullBath,0.34132534,0.0010730682554565335,0.2496615545269416,3565.6271349707467
cat__Neighborhood_Crawfor,0.2982391,1.6668755815262126e-05,0.01898279528395963,261.3448741259986
num__3SsnPorch,0.29323497,7.442422537948593e-06,0.0,304.65675631421266
num__HalfBath,0.2708003,0.0002628578386092159,0.08618209606862326,2825.620039472744
num__YearRemodAdd,0.2393511,0.0015002240496941829,0.2489640314609436,2929.9456333119306
num__YearBuilt,0.23722643,0.0023033198450090253,0.3282565523204046,3456.0153358126454
num__LotFrontage,0.21574628,0.00022081302830959608,0.17045285082988304,1414.4470555436644
cat__Neighborhood_Edwards,0.214363,0.0001371529702825194,0.03382436000667077,472.4090209403537
num__PoolArea,0.20918861,1.4118245911052129e-05,0.0,590.5251427119008
cat__BsmtExposure_Gd,0.18858016,9.78331717261431e-05,0.02721486390168093,710.9416164026825
num__OpenPorchSF,0.1765764,0.00027233453906691394,0.16396200927665383,930.6613199736021
num__ScreenPorch,0.16189826,2.1296770731864886e-06,0.008893146568690558,618.5151091787958
num__BsmtFullBath,0.15991504,0.0001498624662356968,0.01567385074143801,2268.6353332619838
cat__Functional_Typ,0.15983331,0.00012009161136544931,0.020747168873297417,509.18916468678646
num__BedroomAbvGr,0.15787567,3.876720208905187e-07,0.0571323838728226,1687.2702501783667
cat__BsmtQual_Ex,0.15670508,0.0005977356301588826,0.10705685224867101,855.912760987443
cat__Foundation_PConc,0.1541223,0.0015063295705196541,0.1784588620078742,1891.9872037671241
cat__MSZoning_RM,0.15266806,0.0005241299956109804,0.09964243142156604,884.8056838969744
cat__Foundation_CBlock,0.1486747,0.000473701953637171,0.09271733755095579,1625.3598322274543
num__BsmtFinSF2,0.14519173,7.510547544518453e-06,0.003079486111016605,737.068888127854
cat__BsmtExposure_No,0.13719635,0.00018021761484802898,0.013643216922034185,1375.6175487478597
num__MasVnrArea,0.13397492,0.0006268669532333852,0.069675520338766,1289.8599740653538
num__BsmtHalfBath,0.13344769,1.0392310654971509e-05,0.0,241.52806385559344
cat__BsmtFinType1_GLQ,0.123419404,0.0008657952686354296,0.10829889352610711,1245.907816210046
num__GarageArea,0.12268002,0.0014146285248959568,0.36980757196445424,1537.5178352597022
cat__Exterior1st_BrkFace,0.12181105,1.3587736216491217e-05,0.0,149.46353415739148
cat__Alley_Pave,0.11516523,3.5791572547197964e-06,0.013031095659914227,114.50126088042214
cat__Condition1_Artery,0.11422816,0.00012031925904083078,0.017874661253037827,192.6009755458049
cat__LandContour_HLS,0.112425774,1.906223063215059e-05,0.01193353533909014,209.25496370219733
cat__BsmtQual_Gd,0.105036214,0.0008233716892239142,0.15268987079514718,480.9119122966613
cat__SaleType_New,0.10289334,0.0005585893195620948,0.05528719725511433,524.5120944099602
cat__SaleCondition_Partial,0.100868925,0.0005629379909784357,0.06597492954031292,561.4662427404394
cat__KitchenQual_Ex,0.09962324,0.00039412770694771736,0.09002319788613056,473.53800151612415
cat__Condition1_Norm,0.09886715,7.510053808819734e-05,0.004744330532747032,761.5072166095891
cat__LotShape_Reg,0.09241408,0.00026940723601462943,0.08227418006695997,907.9073655108446
cat__LandContour_Lvl,0.09091899,2.9806504131647183e-05,0.019081938249258856,450.30926813998263
cat__Neighborhood_StoneBr,0.09070978,7.98226029231768e-05,0.012843347111526127,133.3133005136983
cat__Neighborhood_Somerst,0.08937033,0.0001802966234004798,0.03500909994014112,664.3973941388417
cat__HeatingQC_TA,0.08263043,0.0005628326511161377,0.10753006501109552,686.2734292594172
cat__Alley_None,0.081825174,0.00020592375509440877,0.013961432771851578,143.69294570490868
cat__MSZoning_RL,0.08175969,0.0003220246866006321,0.05493248671825901,587.2948200627856
num__KitchenAbvGr,0.08164882,0.00019775473517038856,0.021015504723854495,928.0976904787394
cat__BsmtCond_Fa,0.07920881,0.00019203752907808285,0.021812902596611394,111.50210416666658
num__GarageYrBlt,0.07816662,0.001648747758374635,0.27278915242434953,1068.3995904323633
cat__BsmtQual_TA,0.07678445,0.0011665365240117838,0.17803092017120892,1188.0525226883562
cat__LotConfig_CulDSac,0.07526079,6.95051179112457e-05,0.02969277351177113,238.1304160423803
cat__ExterQual_Ex,0.07486344,0.00028053210669772444,0.06279707938569778,190.47896848244872
num__YrSold,0.07094168,1.1255000153457096e-09,0.016540211634618718,554.9251448523117
cat__MSSubClass_30,0.069648385,0.0002815393950011455,0.05924369003656804,225.6631510059932
cat__GarageFinish_Unf,0.06550042,0.001018299521407357,0.1479203937880449,785.933304348601
cat__BsmtCond_TA,0.06342162,0.00014661129618158384,0.0,243.32280013912643
cat__SaleType_COD,0.06228999,1.7772701573962992e-05,0.007432289499733846,91.58012357305934
cat__SaleType_WD,0.061443135,0.0002488342724374842,0.02953276208112543,483.13105650684963
cat__HeatingQC_Ex,0.05983416,0.0010991634878242831,0.1265706295838014,729.8760006777965
cat__BsmtFinType1_Unf,0.0580951,3.2397822941682345e-06,0.0014351467323354683,458.9164456870717
cat__GarageFinish_RFn,0.05533304,0.00039491613413514834,0.07451724902640855,617.8811523080765
cat__KitchenQual_TA,0.053553216,0.0011050591529536383,0.1950755766226735,773.7420944456336
cat__Neighborhood_NAmes,0.050484028,0.00010535292943091079,0.05962989992625922,351.5980634810214
num__BsmtUnfSF,0.05033097,0.0002512749777869683,0.14464052196127763,1224.892729666096
num__EnclosedPorch,0.049623936,0.0002586391021662427,0.021692054204598854,288.73946079480567
num__MoSold,0.049371034,3.872371500304639e-06,0.0,424.24747977311625
num__Id,0.049091555,5.483064030264058e-07,0.009195858775295829,368.90893166738
cat__SaleCondition_Abnorml,0.048962615,4.801238613269739e-05,0.015272077196465395,203.55367062642688
cat__MSSubClass_70,0.047197267,0.00012089801154598116,0.0012471771906337192,110.1847473066497
cat__BldgType_1Fam,0.04713749,6.99829675616055e-06,0.02639561522156164,564.7274474172374
cat__MSZoning_FV,0.046121046,0.00010463259041262559,0.03690653398010202,352.7375700984589
cat__ExterQual_TA,0.044741243,0.0015652533343313766,0.24594771916654312,724.093038384704
cat__KitchenQual_Gd,0.04447215,0.0008617094233774313,0.14412060429471696,362.2603606414093
cat__MSSubClass_160,0.044068933,8.701896192408018e-07,0.02782851853477597,219.9548880029968
cat__Exterior2nd_CmentBd,0.04241522,4.8649739098386844e-05,0.01788294288580894,109.87509282248817
num__WoodDeckSF,0.042402055,0.0003280068166747542,0.09224475604947013,434.1811517016267
cat__LotShape_IR2,0.042259365,3.0449205779623474e-05,0.012709521762008347,96.26304682148947
num__MiscVal,0.041757986,1.1348136633434873e-05,0.0010319726334626633,173.36604459189516
cat__SaleCondition_Family,0.0387392,3.774099424122895e-06,0.0,44.237781749429345
cat__Exterior1st_CemntBd,0.037778545,4.679172468644104e-05,0.031434921643159974,108.98906810074203
cat__Exterior2nd_Plywood,0.036257144,9.818076750023598e-06,0.021841374844463246,155.17850351384115
cat__ExterQual_Gd,0.035994783,0.0013199056968365387,0.21011168697879556,321.625617223174
cat__MSSubClass_60,0.03458642,0.0006626767674108331,0.12646864820937975,383.8539564604742
cat__Neighborhood_BrkSide,0.03452036,0.00020809937690330867,0.029264458371632607,111.492982305936
cat__HouseStyle_1Story,0.03436786,7.69662700594481e-06,0.015600829230612234,260.6649449736016
cat__Exterior2nd_Stucco,0.034082547,3.716285897317723e-05,0.0035393165536563576,30.17739690353855
cat__ExterCond_Gd,0.03397845,5.946870887197028e-05,0.010452644770814201,308.7848885380995
cat__RoofStyle_Gable,0.033336226,3.7162492917490354e-05,0.03303666667710048,213.72596050941792
num__LowQualFinSF,0.032466233,4.557254570078741e-05,0.0,51.76043214897236
cat__LandSlope_Gtl,0.03206598,9.154475632745992e-06,0.013096204608290085,146.99464861586753
cat__Fence_None,0.030880215,0.00018072371390371838,0.03214496929585242,211.31267908104996
cat__BsmtFinType1_ALQ,0.029917194,3.5204677361954955e-05,0.04170274683166708,227.0473222031967
cat__ExterCond_TA,0.0288321,0.0001801419252582798,0.004626222498968602,311.354179830194
cat__Neighborhood_Sawyer,0.028251149,3.080616813605559e-05,0.010676551768939113,160.87336695562232
cat__FireplaceQu_Gd,0.028013913,0.00022006004848209318,0.06835945306453817,387.98253383633005
cat__Exterior1st_VinylSd,0.0279565,0.0009807176163707416,0.086158895485134,409.83203032248866
cat__Electrical_FuseA,0.026967725,0.00030495671584344203,0.022086736140593866,122.3320169449203
cat__Exterior1st_WdShing,0.026877563,2.3060902879066897e-05,0.0,36.243136540382146
cat__MasVnrType_BrkFace,0.026853723,0.00028673166536553424,0.04157621798324995,201.1582134346462
cat__HouseStyle_2Story,0.026736274,0.00020631597764755248,0.05294585665143825,449.28922165739095
cat__CentralAir_N,0.026413703,0.000685197659408208,0.07157104316317797,137.8948528110732
cat__CentralAir_Y,0.026413629,0.000685197659408208,0.06712942348338924,138.26753009061068
cat__PavedDrive_N,0.0259658,0.00048822308572784076,0.03448222537006984,147.64039108875602
cat__LotShape_IR1,0.025908576,0.0001956218224082807,0.05101062817959834,170.827781767266
cat__Fence_GdWo,0.02468627,5.293977488600318e-05,0.011032452793094949,40.48930167308816
cat__PavedDrive_Y,0.024314892,0.0005602186737115358,0.021896631614961137,181.1186193635847
cat__Neighborhood_CollgCr,0.024265612,0.00022379681881051696,0.045441520285263826,228.5375262378713
cat__SaleCondition_Normal,0.023817018,0.00011790966218719058,0.013089133251910967,153.00015204052545
cat__BldgType_TwnhsE,0.02322272,0.00010358573626155858,0.0041321956465059095,210.1578948701486
cat__BsmtExposure_Av,0.022779,0.00022497718044440699,0.03371549717650102,137.0921995933215
cat__Exterior1st_HdBoard,0.022721646,9.664570707463686e-06,0.02989419011497807,296.1373082013414
cat__Neighborhood_MeadowV,0.02258888,7.93386671290956e-06,0.015023379173585205,23.386775167665537
cat__BsmtFinType2_BLQ,0.022389319,5.828634327001465e-06,0.002018868571186827,51.30706428367623
cat__Functional_Mod,0.02230488,2.5716504632066256e-05,0.0,5.316085206192929
cat__Exterior2nd_VinylSd,0.020522952,0.0009675942747627021,0.09002447310968953,416.22477602383015
cat__LandSlope_Mod,0.020331485,8.808226695141514e-06,0.018444717699324542,102.83696912457165
cat__MSSubClass_50,0.020209594,0.00033835321009012954,0.04482473062947778,196.245415614298
cat__Neighborhood_Mitchel,0.019826492,9.460068291800827e-07,0.012850922606193027,55.0817773972601
cat__RoofStyle_Hip,0.019315226,6.721156845787997e-05,0.010156195548175484,213.6680119149542
cat__GarageType_BuiltIn,0.019314224,0.00017477386015136547,0.017746452976627358,113.13326756920694
cat__LotConfig_Inside,0.01913752,9.598079662125722e-06,0.023278596895092596,219.59732814283703
cat__MasVnrType_None,0.018708259,0.0007571460368031923,0.08112067067737083,426.40862246718024
cat__FireplaceQu_None,0.018220996,0.0005690000944157722,0.17626086925912987,81.67834392836771
cat__LotConfig_FR2,0.018057248,9.701749341528666e-06,0.0017526973489954134,72.65324502354454
cat__Exterior2nd_MetalSd,0.01779365,0.00016855485360566655,0.029510938016690913,109.235822006992
cat__Neighborhood_IDOTRR,0.017342513,0.00018184096264031534,0.014960910406799588,45.183682808932225
cat__Exterior1st_Plywood,0.015828129,2.4704617447104087e-07,0.013709467414189769,106.06698578410416
cat__Exterior1st_MetalSd,0.01572416,0.00018426499040915956,0.04045088649491024,127.08236023116443
cat__HeatingQC_Fa,0.015717177,0.0001601366641102914,0.02017932327674199,48.254984803082316
cat__Neighborhood_ClearCr,0.015673842,1.1442806375099453e-06,0.0,30.058645583618716
cat__SaleType_CWD,0.015647503,6.089993834319068e-07,0.00186859088413871,0.0
cat__BsmtFinType1_LwQ,0.015620527,7.791108075398649e-05,0.016870015436377672,106.4313495291094
cat__BsmtFinType2_ALQ,0.015086557,5.8020872133503e-09,0.0,13.235625535102654
cat__HouseStyle_1.5Fin,0.014138792,0.0003823407560725628,0.039964501708635414,181.42138415025687
cat__GarageType_Detchd,0.014035632,0.0008007760005543691,0.12042992540442676,134.25441952054777
cat__MSSubClass_20,0.014030018,3.88355888282534e-05,0.005234142949748666,370.38244941495384
cat__Condition1_PosN,0.0136497365,1.1362660699147313e-05,0.0,10.437075556507088
cat__Condition1_RRAe,0.013456095,9.05940765755362e-07,0.009148405366464107,13.416295358875704
cat__HeatingQC_Gd,0.013321258,8.209832646954692e-05,0.009365307937653888,187.03277033390412
cat__GarageFinish_Fin,0.012924122,0.0007049159106421003,0.09699192778573051,113.7261104987159
cat__Neighborhood_SawyerW,0.012684248,6.639186007262256e-06,0.00509451387613713,94.0692376926369
cat__FireplaceQu_Ex,0.01261628,8.656380295063489e-05,0.0162179466165,39.99750481592442
cat__GarageQual_TA,0.012432264,0.0006361027182546564,0.042417273890451135,89.81113953695788
cat__GarageType_Attchd,0.012296138,0.000906592870983116,0.11384527893402474,137.22108096104446
cat__Fence_GdPrv,0.012164503,2.894134707670692e-06,0.015701634990012536,42.02369747074761
cat__MasVnrType_Stone,0.012022181,0.0004228959403671858,0.05441557446380285,60.52386904252306
cat__GarageQual_Fa,0.011761716,0.00020670187958444393,0.011881084509603568,47.22461547517152
cat__Functional_Min1,0.0117420675,3.306303524542255e-05,0.0,12.669166916381275
